trial_num,answere,response,clicks,correct,time_start,time_end
0,2|8,2|8,2,True,1625452750.3237844,1625452754.6798174
1,6|8,6|8,2,True,1625452759.2888784,1625452762.391796
2,3|6|9,3|6|9,3,True,1625452768.021077,1625452771.9437685
3,4|5|6,4|5|6,3,True,1625452777.543419,1625452781.6655173
4,2|3|4|6,2|3|4|6,4,True,1625452788.246722,1625452793.0347664
5,1|2|4|8,1|2|4|8,4,True,1625452799.605486,1625452804.3788195
6,3|4|6|8|9,3|4|6|8|9,5,True,1625452811.954824,1625452818.6167378
7,1|2|7|8|9,1|2|7|8|9,5,True,1625452826.2080054,1625452832.1857443
8,3|4|5|6|7|9,4|3|5|6|7|9,6,False,1625452840.7417428,1625452852.9097497
9,1|2|3|4|6|9,1|2|3|4|6|9,6,True,1625452861.483883,1625452868.5837831
10,1|4|5|6|7|8|9,1|4|5|7|6|8|9,7,False,1625452878.1687331,1625452887.3526719
11,1|3|4|5|7|8|9,1|3|4|5|7|8|9,7,True,1625452896.9247344,1625452906.6157358
12,1|2|3|4|5|6|8|9,1|3|4|5|6|7|8|9,8,False,1625452917.152783,1625452931.3276744
13,1|2|3|4|5|6|8|9,1|2|3|4|5|6|8,7,False,1625452941.8686767,1625452955.6086843
